Category,Year,Sales Target,Sales_Target_Amount,
Office Supplies,2015,170K,170000,Office Supplies2015
Technology,2015,180K,180000,Technology2015
Furniture,2015,190K,190000,Furniture2015
Office Supplies,2016,190K,190000,Office Supplies2016
Technology,2016,180K,180000,Technology2016
Furniture,2016,200K,200000,Furniture2016
Office Supplies,2017,200K,200000,Office Supplies2017
Technology,2017,210K,210000,Technology2017
Furniture,2017,260K,260000,Furniture2017
Office Supplies,2018,190K,190000,Office Supplies2018
Technology,2018,180K,180000,Technology2018
Furniture,2018,200K,200000,Furniture2018
Office Supplies,2019,160K,160000,Office Supplies2019
Technology,2019,180K,180000,Technology2019
Furniture,2019,200K,200000,Furniture2019
